english,igala_primary,igala_variations,contributor,region,verified
finger,anyiga,"anyíga",Jude,Dekina,yes
chest,agbẹdọ,"edọ,edó",Jude,Dekina,yes
stomach,efu,"efù",Jude,Dekina,yes
back,ubi,"ubí",Jude,Dekina,yes
leg,ẹrẹ,"èrè",Jude,Dekina,yes
knee,okwukwu,,Jude,Dekina,yes
foot,adab'ẹrẹ,"om'ere,apata ẹrẹ",Jude,Dekina,yes
sky,akpa,"ojalẹ",Jude,Dekina,yes
star,ilawo,"awo,íláwo",Jude,Dekina,yes
cloud,akpa,,Jude,Dekina,yes
wind,afu,"afù",Jude,Dekina,yes
river,aji,"ájí",Jude,Dekina,yes
tree,oli,"olí",Jude,Dekina,yes
leaf,eñmi,"emè",Jude,Dekina,yes
flower,ododo,"ododó",Jude,Dekina,yes
stone,okwuta,"okutá,okputa",Jude,Dekina,yes
mountain,uwo,"ùwó",Jude,Dekina,yes
farm,oko,"okó",Jude,Dekina,yes
red,ekpikpa,"ekpìkpa,eikpa",Jude,Dekina,yes
white,efufu,"efùfù",Jude,Dekina,yes
black,edudu,"edùdù",Jude,Dekina,yes
blue,igẹluwẹ,,Jude,Dekina,yes
green,odufa,"omí eñmi",Jude,Dekina,yes
yellow,odo,,Jude,Dekina,yes
cow,okwunọ,"okwùno,okunọ",Jude,Dekina,yes
goat,ewo,"ewọ",Jude,Dekina,yes
chicken,ejuwẹ,"ajùwe,ajuwe",Jude,Dekina,yes
fish,ẹja,"èjá",Jude,Dekina,yes
snake,ejo,"èjo",Jude,Dekina,yes
bird,ẹwẹ,"èwè,ẹwẹ̀",Jude,Dekina,yes
elephant,adagba,"adagbà",Jude,Dekina,yes
lion,idu,"idú",Jude,Dekina,yes
happy,edẹbọ,"edó èbo,ẹdèbo",Jude,Dekina,yes
sad,edẹkpabiẹ,"edó èkpábíè,ẹdopkabiẹ̀",Jude,Dekina,yes
angry,edẹfuulu,"uwèdo,èwẹdọ",Jude,Dekina,yes
afraid,okpo,"ókpó,ejiji",Jude,Dekina,yes
tired,uhia,"ol'ẹkpa,ugbogwu",Jude,Dekina,yes
hungry,ebi,"èbí",Jude,Dekina,yes
thirsty,alugbẹ,"olugbẹ",Jude,Dekina,yes
head,ọji,"ọji",Ramat,Kogi East Agbale,yes
eye,èju,"eju",Ramat,Kogi East Agbale,yes
ear,èti,"eti",Ramat,Kogi East Agbale,yes
nose,inmọ,"iñmọ",Ramat,Kogi East Agbale,yes
mouth,alu,,Ramat,Kogi East Agbale,yes
tongue,upkalu,"ukpalu",Ramat,Kogi East Agbale,yes
tooth,ényi,"enyi",Ramat,Kogi East Agbale,yes
neck,ọlọ,"ọfa",Ramat,Kogi East Agbale,yes
shoulder,ojika,"ojíká",Ramat,Kogi East Agbale,yes
hand,ọwọ,"owo",Ramat,Kogi East Agbale,yes
finger,anyíga,"anyiga",Ramat,Kogi East Agbale,yes
chest,edọ,"agbẹdọ,edó",Ramat,Kogi East Agbale,yes
stomach,efu,"efù",Ramat,Kogi East Agbale,yes
back,ubi,"ubí",Ramat,Kogi East Agbale,yes
leg,ẹrẹ,"èrè",Ramat,Kogi East Agbale,yes
knee,òkwukwu,"okwukwu",Ramat,Kogi East Agbale,yes
foot,apata ẹrẹ,"adab'ẹrẹ,om'ere",Ramat,Kogi East Agbale,yes
sky,ojale,"akpa,ojalẹ",Ramat,Kogi East Agbale,yes
star,ilawo,"awo,íláwo",Ramat,Kogi East Agbale,yes
cloud,akpa,,Ramat,Kogi East Agbale,yes
wind,afu,"afù",Ramat,Kogi East Agbale,yes
river,aji,"ájí",Ramat,Kogi East Agbale,yes
tree,oli,"olí",Ramat,Kogi East Agbale,yes
leaf,emè,"eñmi",Ramat,Kogi East Agbale,yes
flower,ododo,"ododó",Ramat,Kogi East Agbale,yes
stone,okputa,"okwuta,okutá",Ramat,Kogi East Agbale,yes
mountain,uwo,"ùwó",Ramat,Kogi East Agbale,yes
farm,ókò,"oko,okó",Ramat,Kogi East Agbale,yes
rain,ọmi ówò,"omi-ojale,omi elọ",Ramat,Kogi East Agbale,yes
red,eikpa,"ekpikpa,ekpìkpa",Ramat,Kogi East Agbale,yes
white,efufu,"efùfù",Ramat,Kogi East Agbale,yes
black,edudu,"edùdù",Ramat,Kogi East Agbale,yes
